t,year,height,station,u2,v2,surge_mm,height - surge,height - surge anomaly,psmsl_id,wind_variant
1932-01-01,1932.0,-34.0,24,4.9669051107544755,1.2120456457914832,61.021820132278535,-95.02182013227853,-34.000000000000014,24,Combined
1933-01-01,1933.0,-79.0,24,0.09759476626042218,1.1501238195568109,61.021820132278535,-140.02182013227855,-79.00000000000001,24,Combined
1934-01-01,1934.0,-57.0,24,6.976338924975135,4.497621859228084,61.021820132278535,-118.02182013227853,-57.000000000000014,24,Combined
1935-01-01,1935.0,-14.0,24,7.133285941008256,1.6792228865800685,61.021820132278535,-75.02182013227853,-14.000000000000014,24,Combined
1936-01-01,1936.0,-15.0,24,5.67577944890461,1.3608349953620502,61.021820132278535,-76.02182013227853,-15.000000000000014,24,Combined
1937-01-01,1937.0,-52.0,24,2.5686348155023464,1.5595745623331292,61.021820132278535,-113.02182013227853,-52.000000000000014,24,Combined
1938-01-01,1938.0,-5.0,24,9.66987769405449,2.358244692869171,61.021820132278535,-66.02182013227853,-5.000000000000014,24,Combined
1939-01-01,1939.0,-68.0,24,2.273131494763111,1.3497025704400094,61.021820132278535,-129.02182013227855,-68.00000000000001,24,Combined
1940-01-01,1940.0,-47.0,24,4.41621337666481,0.5056532655515286,61.021820132278535,-108.02182013227853,-47.000000000000014,24,Combined
1941-01-01,1941.0,-99.0,24,2.541583129597821,1.4336482480686374,61.021820132278535,-160.02182013227855,-99.00000000000001,24,Combined
1942-01-01,1942.0,-78.0,24,3.5510022297159547,0.3968736068780669,61.021820132278535,-139.02182013227855,-78.00000000000001,24,Combined
1943-01-01,1943.0,-10.0,24,8.474101889565135,1.8343256726756607,61.021820132278535,-71.02182013227853,-10.000000000000014,24,Combined
1944-01-01,1944.0,21.0,24,8.870642663219828,-1.6901536704953575,61.021820132278535,-40.021820132278535,20.999999999999986,24,Combined
1945-01-01,1945.0,22.0,24,6.109342072181327,0.22413776779029768,61.021820132278535,-39.021820132278535,21.999999999999986,24,Combined
1946-01-01,1946.0,-5.0,24,3.2409085434851526,2.4486530547188066,61.021820132278535,-66.02182013227853,-5.000000000000014,24,Combined
1947-01-01,1947.0,-106.0,24,-2.7049419669426307,0.9409588220661461,61.021820132278535,-167.02182013227855,-106.00000000000001,24,Combined
1948-01-01,1948.0,-10.0,24,4.387521997401521,5.4108084291711265,61.021820132278535,-71.02182013227853,-10.000000000000014,24,Combined
1949-01-01,1949.0,13.0,24,8.470212065174492,1.892796143729317,61.021820132278535,-48.021820132278535,12.999999999999986,24,Combined
1950-01-01,1950.0,-21.0,24,5.701430941064101,2.4221733569314376,61.021820132278535,-82.02182013227853,-21.000000000000014,24,Combined
1951-01-01,1951.0,-47.0,24,3.275278630659129,4.516598860572741,61.021820132278535,-108.02182013227853,-47.000000000000014,24,Combined
