# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# predicted_broken_linear -> fitted sea surface height based on broken linear model [mm relative to NAP(2005)] 
# predicted_broken_linear_ci_025 -> fitted sea surface height based on broken linear model, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_broken_linear_ci_975']  -> fitted sea surface height based on broken linear model, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_broken_linear_pi_025']  -> fitted sea surface height based on broken linear model, 2.5% prediction interval [mm relative to NAP(2005)] 
# predicted_broken_linear_pi_975']  -> fitted sea surface height based on broken linear model, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_linear  -> fitted nodal tide based on linear model  [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide_broken_linear  -> fitted nodal tide based on broken linear model with wind [mm relative to NAP(2005)]
t,year,height,u2,v2,surge_mm,station,height - surge,height - surge anomaly,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,predicted_broken_linear,predicted_broken_linear_ci_025,predicted_broken_linear_ci_975,predicted_broken_linear_pi_025,predicted_broken_linear_pi_975,sea_surface_height_due_to_tide_linear,sea_surface_height_due_to_tide_broken_linear,date
1926-01-01,1926.0,-108.2,6.343871,2.392497,44.512700279247234,10001,-152.71270027924723,-108.2,-109.51392662454005,-111.82404449991265,-116.68168292440579,-124.02695593651917,-109.33640991229241,-160.41665237648948,-72.94671347232212,-112.06156970195708,-120.95252950384125,-103.17060990007292,-151.63355515817852,-72.48958424573563,6.417271166654245,5.550715421480033,1926-01-01
1927-01-01,1927.0,-102.0,6.343871,2.392497,44.512700279247234,10001,-146.51270027924724,-102.0,-104.41255136519,-106.67450419851622,-114.8166222540571,-122.06244011168351,-107.57080439643067,-158.5349981820134,-71.09824632610079,-107.06855858823432,-115.73157828452096,-98.40553889194769,-146.5899550337919,-67.54716214267673,9.648254195371786,8.766308661995614,1927-01-01
1928-01-01,1928.0,-89.2,6.343871,2.392497,44.512700279247234,10001,-133.71270027924723,-89.2,-100.48553881752623,-102.61401356632571,-112.95156158370837,-120.09885975631283,-105.8042634111039,-156.6537170056132,-69.24940616180353,-103.06504726951935,-111.56394037578033,-94.56615416325837,-142.55079217550198,-63.57930236353673,11.790187554883392,10.992402107503406,1928-01-01
1929-01-01,1929.0,-144.4,6.343871,2.392497,44.512700279247234,10001,-188.91270027924725,-144.4,-97.96563243590204,-99.88434399217505,-111.08650091335967,-118.13625408982855,-104.03674773689079,-154.77280926278814,-67.4001925639312,-100.30230673031991,-108.68888208298502,-91.91573137765481,-139.7640288530886,-60.840584607551214,12.601299856355165,11.977724773495666,1929-01-01
1930-01-01,1930.0,-90.6,6.343871,2.392497,44.512700279247234,10001,-135.11270027924724,-90.6,-96.92674813202582,-98.57705002735604,-109.22144024301095,-116.17466413333345,-102.26821635268844,-152.89227536006774,-65.55060512595414,-98.89155557057452,-107.2004981823687,-90.58261295878035,-138.33685179299846,-59.4462593481506,11.990036548495276,11.61105806003389,1930-01-01
1931-01-01,1931.0,-86.4,6.343871,2.392497,44.512700279247234,10001,-130.91270027924725,-86.4,-97.27563099362091,-98.62313513739286,-107.35637957266225,-114.2141327781641,-100.4986263671604,-151.01211569496104,-63.70064345036347,-98.79140617186862,-107.04555464038563,-90.5372577033516,-138.2251966780957,-59.357615665641546,10.02539416577955,9.9337895855326,1931-01-01
1932-01-01,1932.0,-101.2,6.343871,2.392497,44.512700279247234,10001,-145.71270027924723,-101.2,-98.76238146142181,-99.80083970715938,-105.49131890231355,-112.25470485352105,-98.72793295110606,-149.1323306559061,-61.850307148721015,-99.8125363376331,-108.03352266902847,-91.59155000623774,-139.2393987921789,-60.38567388308732,6.9291323233341195,7.13524154656095,1932-01-01
1933-01-01,1933.0,-147.0,6.343871,2.392497,44.512700279247234,10001,-191.51270027924724,-147.0,-101.00866281903139,-101.76067222585901,-103.62625823196483,-110.29642719243438,-96.95608927149527,-147.25292062222135,-59.999595841708306,-101.63905909449602,-109.85600877470988,-93.42210941428216,-141.0650800552251,-62.21303813376693,3.0507425319555894,3.531300916490869,1933-01-01
1934-01-01,1934.0,-133.8,6.343871,2.392497,44.512700279247234,10001,-178.31270027924725,-133.8,-103.55040606651714,-104.06485824913906,-101.76119756161613,-108.33934869519712,-95.18304642803514,-145.37388596405748,-58.148509159174765,-103.86417853186677,-112.11457849254778,-95.61377857118576,-143.29718458339534,-64.4311724803382,-1.1720007640033576,-0.47123639408707607,1934-01-01
1935-01-01,1935.0,-85.6,6.343871,2.392497,44.512700279247234,10001,-130.11270027924724,-85.6,-105.89019185196402,-106.23675432456935,-99.8961368912674,-106.38352038926217,-93.40875339327263,-143.49522704235045,-56.29704674018436,-106.03610701585815,-114.35731915271286,-97.71489487900344,-145.48398957215286,-66.58822445956343,-5.262454112112521,-4.420582751285631,1935-01-01
