# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide  -> fitted nodal tide based on linear model with wind [mm relative to NAP(2005)]
index,t,year,height,u2,v2,surge,height-surge,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide,date
68,1930-01-01,1930.0,-90.6,6.3112593,2.3649986,0.04513845848196298,-45.50667997651898,-52.90865313339368,-52.62780921948223,-64.81429160614154,-70.00090543182542,-59.62767778045767,-109.97897103778948,-19.64961217449359,11.905638472747864,1930-01-01
69,1931-01-01,1931.0,-86.4,6.3112593,2.3649986,0.04513845848196298,-41.30667997651899,-53.04286781663236,-52.57583199520997,-62.94013194200722,-68.05685333695695,-57.82341054705749,-108.0968384541111,-17.783425429903346,9.897264125374878,1931-01-01
70,1932-01-01,1932.0,-101.2,6.3112593,2.3649986,0.04513845848196298,-56.10667997651899,-54.294239241756394,-53.82183687220011,-61.06597227787291,-66.11376887637674,-56.01817567936908,-106.21492083358808,-15.917023722157744,6.771733036116523,1932-01-01
71,1933-01-01,1933.0,-147.0,6.3112593,2.3649986,0.04513845848196298,-101.90667997651899,-56.30997212270436,-56.00843558564151,-59.1918126137386,-64.17169222832435,-54.21193299915286,-104.33321828705049,-14.050406940426711,2.8818404910342363,1933-01-01
72,1934-01-01,1934.0,-133.8,6.3112593,2.3649986,0.04513845848196298,-88.706679976519,-58.65099363825018,-58.67207005121971,-57.31765294960429,-62.230665188672674,-52.4046407105359,-102.45173092232889,-12.18357497687969,-1.3333406886458912,1934-01-01
73,1935-01-01,1935.0,-85.6,6.3112593,2.3649986,0.04513845848196298,-40.50667997651898,-60.841513912171855,-61.29533662691162,-55.44349328546998,-60.2907311954837,-50.59625537545625,-100.57045884424673,-10.31652772669323,-5.39802062670187,1935-01-01
74,1936-01-01,1936.0,-68.2,6.3112593,2.3649986,0.04513845848196298,-23.10667997651899,-62.42273094233192,-63.36538820872039,-53.569333621335666,-58.35193534643069,-48.78673189624064,-98.68940215461285,-8.449265088058475,-8.853397320996239,1936-01-01
75,1937-01-01,1937.0,-79.4,6.3112593,2.3649986,0.04513845848196298,-34.30667997651899,-63.00461801822885,-64.43182200577439,-51.695173957201355,-56.41432440776541,-46.9760235066373,-96.80856095221435,-6.581786962188367,-11.309444061027499,1937-01-01
76,1938-01-01,1938.0,-72.4,6.3112593,2.3649986,0.04513845848196298,-27.306679976518993,-62.3099481062851,-64.15751889431567,-49.82101429306706,-54.47794681338613,-45.164081772747984,-94.92793533280944,-4.714093253324677,-12.488933813218035,1938-01-01
77,1939-01-01,1939.0,-102.6,6.3112593,2.3649986,0.04513845848196298,-57.50667997651898,-60.205585936798535,-62.35669584280993,-47.94685462893275,-52.54285265244418,-43.35085660542131,-93.04752538912066,-2.8461838687448306,-12.258731307865796,1939-01-01
