# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide  -> fitted nodal tide based on linear model with wind [mm relative to NAP(2005)]
index,year,height,u2,v2,surge,height-surge,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide,date
80,1970,-9.833333333333334,4.2492,0.08066217,0.04778568535266118,-9.833333333333334,-16.6903643756923,-19.31769113912771,-23.761231029240502,-27.64596097606064,-19.876501082420365,-70.7356144798204,23.21315242133939,3.332227306461994,1970-01-01
81,1971,-60.166666666666664,1.1129643,-0.005539007,0.04778568535266118,-60.166666666666664,-34.71939807267108,-21.705458865708074,-21.842903439636682,-25.742172701463915,-17.94363417780945,-68.8184915102359,25.13268463096254,-0.6049330638224717,1971-01-01
82,1972,-88.33333333333333,0.33752117,0.5689417,0.04778568535266118,-88.33333333333333,-39.8422206068027,-24.06445301640893,-19.924575850032863,-23.841063072792014,-16.00808862727371,-66.90159625329417,27.052444553228444,-4.473811427879984,1972-01-01
83,1973,-20.5,5.2323146,-0.33183584,0.04778568535266118,-20.5,-17.666656572950053,-25.908927023927504,-18.006248260429043,-21.942596940251025,-14.069899580607059,-64.984928688167,28.97243216730892,-7.83770694665138,1973-01-01
84,1974,-16.666666666666668,4.475806,0.34382138,0.04778568535266118,-16.666666666666668,-21.17031224217997,-26.811210940874425,-16.087920670825223,-20.04673451660433,-12.129106825046113,-63.06848879071843,30.892647449067983,-10.316918875548204,1974-01-01
85,1975,-52.0,1.3508412,-0.021781223,0.04778568535266118,-52.0,-36.888484174043974,-26.449984817039965,-14.169593081221405,-18.153431754564497,-10.185754407878312,-61.15227653350644,32.81309037106362,-11.631605403152204,1975-01-01
86,1976,-75.5,0.50272703,-0.014485825,0.04778568535266118,-75.5,-39.26107605594007,-24.64654778791502,-12.251265491617582,-16.262640749332977,-8.239890233902187,-59.23629188578495,34.73376090254979,-11.633370882022472,1976-01-01
87,1977,-24.166666666666668,3.4437191,0.48148355,0.04778568535266118,-24.166666666666668,-20.47002188861967,-21.384988989909566,-10.332937902013763,-14.374310158375952,-6.2915656456515725,-57.32053481350613,36.65465900947861,-10.322016033186802,1977-01-01
88,1978,-31.833333333333332,3.2926571,0.1732222,0.04778568535266118,-31.833333333333332,-17.247743059946735,-16.813983503989526,-8.414610312409943,-12.488385630720014,-4.340834994099872,-55.405005279322765,38.57578465450288,-7.845560439817155,1978-01-01
89,1979,-17.138581314601353,2.9034595,0.9794639,0.0425909333339292,-17.138581314601353,-12.876058483347009,-11.230010610040086,-6.496282722806122,-10.604810238467442,-2.387755207144803,-53.48970324259101,40.49713779697877,-4.48353479110871,1979-01-01
