# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and tide [mm relative to NAP(2005)]
# predicted_linear -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind_last_tide  -> fitted sea surface height based on linear model with wind and nodal tide at epoch   [mm relative to NAP(2005)]
year,height,u2,v2,predicted_linear_with_wind,predicted_linear,predicted_linear_mean_wind_last_tide,date
1993,-5.166666666666667,2.31702,0.08018711,-4.51590054408949,8.465113917025214,,1993-01-01
1994,35.333333333333336,4.919285,1.2199252,26.62792928053635,8.98603728723684,,1994-01-01
1995,39.833333333333336,3.7871656,0.04719175,14.649309989892306,10.999176192418826,,1995-01-01
1996,-74.0,0.040142,0.014256987,-22.821583443754122,14.49460019830352,,1996-01-01
1997,-16.666666666666668,1.2264534,0.7445224,-4.282952982335026,19.29506548253245,,1997-01-01
1998,64.33333333333333,7.4432936,1.7884872,70.31967461377911,25.076021285792404,,1998-01-01
1999,58.666666666666664,5.2715096,1.1653932,51.204939795043494,31.40224367891089,,1999-01-01
2000,54.0,5.5184684,3.2992122,62.76422511869867,37.776961598146734,,2000-01-01
2001,61.0,3.4175305,0.1446687,39.88689769622726,43.697930032285385,,2001-01-01
2002,46.166666666666664,1.6989514,2.23091,28.655056117406296,48.71412108324394,,2002-01-01
2003,32.0,1.0597814,0.49877694,22.051541472032582,52.476633879228835,,2003-01-01
2004,62.833333333333336,6.299912,0.678191,81.33060289864852,54.778076868290626,,2004-01-01
2005,45.0,4.018306,0.046656903,56.10671215090008,55.57597720373948,,2005-01-01
2006,41.333333333333336,3.0318968,1.4427371,47.11712399178626,54.997574879819986,,2006-01-01
2007,94.83333333333333,5.71606,0.119684935,72.99404707455957,53.32546047810179,,2007-01-01
2008,66.33333333333333,4.781557,2.412327,64.67506135728327,50.96567766839351,,2008-01-01
2009,33.666666666666664,2.8233924,1.2740458,39.691499244487446,48.401890904231095,,2009-01-01
2010,25.333333333333332,0.7098519,-0.15642492,12.896644846037447,46.14079164845349,,2010-01-01
2011,60.166666666666664,4.5929317,2.1602745,58.12359101722607,44.654905417998556,,2011-01-01
2012,50.666666666666664,4.8021884,1.6506156,59.84813367608675,44.329255320384135,,2012-01-01
2013,25.666666666666668,1.0756603,0.12022516,18.25648954613451,45.41790245165074,,2013-01-01
2014,66.66666666666667,2.4486625,3.471638,41.22905112532002,48.01526867175704,,2014-01-01
2015,92.5,7.3712335,1.8507318,96.1661300787049,52.04547870800398,,2015-01-01
2016,77.0,3.0661945,0.8432111,52.42100331286347,57.27092459985131,,2016-01-01
2017,112.16666666666667,7.882341,1.1303532,110.74395134047754,63.319085770776084,,2017-01-01
