# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
index,year,height,u2,v2,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,date
65,1927,-92.16666666666667,3.3570893,0.71686864,-95.77436998739604,-96.70810501028521,-104.68002657165813,-110.24474773952583,-99.11530540379043,-150.98368820123193,-58.37636494208433,1927-01-01
66,1928,-79.33333333333333,3.3570893,0.71686864,-92.06255851413995,-92.18348330791346,-102.8116884158098,-108.29962274585648,-97.32375408576311,-149.1061846528449,-56.51719217877472,1928-01-01
67,1929,-131.83333333333334,3.3570893,0.71686864,-89.56405839510593,-89.0980254917416,-100.94335025996152,-106.3554651015088,-95.53123541841424,-147.22891977885203,-54.65778074107101,1929-01-01
68,1930,-83.33333333333333,3.3570893,0.71686864,-88.34999935632078,-87.58124015238715,-99.07501210411324,-104.41231603191136,-93.73770817631512,-145.35189371737277,-52.798130490853694,1930-01-01
69,1931,-74.83333333333333,3.3570893,0.71686864,-88.34652944057262,-87.58557149064373,-97.2066739482649,-102.47021854194732,-91.9431293545825,-143.47510660293383,-50.938241293595986,1931-01-01
70,1932,-90.0,3.3570893,0.71686864,-89.34315106986772,-88.8917671929893,-95.33833579241663,-100.52921745876957,-90.14745412606369,-141.59855856645902,-49.078113018374246,1932-01-01
71,1933,-135.66666666666666,3.3570893,0.71686864,-91.01648102449407,-91.13362660412388,-93.46999763656832,-98.58935946895292,-88.35063580418372,-139.7222497352589,-47.21774553787775,1933-01-01
72,1934,-121.0,3.3570893,0.71686864,-92.96675242372423,-93.83933573892527,-91.60165948072002,-96.65069314866824,-86.5526258127718,-137.8461802330213,-45.35713872841872,1934-01-01
73,1935,-73.66666666666667,3.3570893,0.71686864,-94.76293853582261,-96.48472343159466,-89.73332132487174,-94.71326898540741,-84.75337366433607,-135.9703501798017,-43.496292469941785,1935-01-01
74,1936,-59.333333333333336,3.3570893,0.71686864,-95.99140505338063,-98.55242731772566,-87.86498316902343,-92.77713938963329,-82.95282694841357,-134.09475969201375,-41.63520664603312,1936-01-01
75,1937,-74.83333333333333,3.3570893,0.71686864,-96.30259919338953,-99.59029127081536,-85.99664501317514,-90.84235869457223,-81.15093133177805,-132.21940888242068,-39.773881143929614,1937-01-01
76,1938,-61.166666666666664,3.3570893,0.71686864,-95.45050557547448,-99.26240266455295,-84.12830685732685,-88.90898314221408,-79.34763057243961,-130.34429786012623,-37.91231585452746,1938-01-01
77,1939,-96.83333333333333,3.3570893,0.71686864,-93.32041528386092,-97.38700861415825,-82.25996870147854,-86.97707085344524,-77.54286654951184,-128.46942673056648,-36.05051067239061,1939-01-01
78,1940,-89.5,3.3570893,0.71686864,-89.94187367163521,-93.95703138932976,-80.39163054563024,-85.04668178011691,-75.73657931114356,-126.5947955955015,-34.18846549575897,1940-01-01
79,1941,-125.0,3.3570893,0.71686864,-85.48534541989896,-89.14086731523629,-78.52329238978196,-83.11787763675524,-73.92870714280868,-124.72040455300765,-32.32618022655627,1941-01-01
80,1942,-109.5,3.3570893,0.71686864,-80.24297328429402,-83.263378985356,-76.65495423393365,-81.19072180956123,-72.11918665830608,-122.84625369746969,-30.46365477039761,1942-01-01
81,1943,-59.333333333333336,3.3570893,0.71686864,-74.59560239132074,-76.76922629600338,-74.78661607808534,-79.26527924033877,-70.30795291583192,-120.97234311957378,-28.60088903659691,1943-01-01
82,1944,-49.333333333333336,3.3570893,0.71686864,-68.969792227177,-70.17267532333597,-72.91827792223705,-77.3416162830386,-68.4949395614355,-119.09867290630025,-26.737882938173854,1944-01-01
83,1945,-57.666666666666664,3.3570893,0.71686864,-63.789668604141596,-63.9995503813347,-71.04993976638876,-75.41980053073273,-66.68007900204479,-117.22524314091683,-24.874636391860697,1945-01-01
84,1946,-68.5,3.3570893,0.71686864,-59.42905032865228,-58.72788144012397,-69.18160161054045,-73.49990061104614,-64.86330261003476,-115.35205390297224,-23.01114931810867,1946-01-01
